Pseudocode,Similarity,District Name
5090514,0.9952706322960521,BENGALURU U NORTH
5172939,0.9957236971164433,BENGALURU RURAL
5257409,0.9950774563943372,VIJAYAPURA
5260554,0.9973690871110923,BIDAR
5293063,0.996408628606883,HASSAN
5336430,0.9951837347255742,RAMANAGARA
5379686,0.9951377209406576,KODAGU
5489641,0.9952520050584199,BALLARI
5513930,0.9954944065452567,BELAGAVI CHIKKODI
5546716,0.9959161816747496,BENGALURU RURAL
5562730,0.9964114475789473,BIDAR
5632842,0.9953879243425922,BELAGAVI CHIKKODI
5643518,0.996065812803913,TUMAKURU MADHUGIRI
5683294,0.9954793086334491,BIDAR
5704155,0.9951369361915361,BENGALURU U SOUTH
5713685,0.9960502386878568,BELAGAVI
5727101,0.9955538368861206,TUMAKURU
5786123,0.9952627208522545,TUMAKURU
5815274,0.9963730871059767,BENGALURU U SOUTH
5821929,0.9956004195658832,SHIVAMOGGA
5910305,0.9954944065452567,TUMAKURU
6022489,0.9952696413225185,SHIVAMOGGA
6029919,0.995943389771256,KOLAR
6086023,0.9961690538375549,HASSAN
6087828,0.995776213907037,MYSURU
6095853,0.9950774563943372,MANDYA
6134591,0.996103582332102,MANDYA
6214830,0.9962479227605572,HASSAN
6260251,0.9953399055738297,RAICHUR
6317947,0.9951058208979654,BENGALURU U SOUTH
6349436,0.9959730113198181,CHIKKAMANGALURU
6391606,0.995943389771256,TUMAKURU
6395743,0.996188649914695,CHIKKAMANGALURU
6412833,0.9950963994450605,BENGALURU U SOUTH
6415416,0.9955698367215812,KOLAR
6489167,0.9960876243775425,MANDYA
6516933,0.9959730113198181,SHIVAMOGGA
6548226,0.9950931652825316,KOLAR
6563848,0.9950563796185715,BELAGAVI
6630803,0.9955653520021951,BENGALURU U SOUTH
6658187,0.995832369661487,KOLAR
6707902,0.9960596309496782,BELAGAVI
6744913,0.9950064359622394,BALLARI
6868909,0.9962479227605572,KOLAR
6882808,0.9964834006090186,TUMAKURU
6893839,0.9956644106536695,DAKSHINA KANNADA
6907133,0.9958156712001135,RAICHUR
6915656,0.9950194923864061,HASSAN
6918497,0.9954258869128124,TUMAKURU
6948067,0.9952346367394282,MYSURU
6983059,0.9951944811411978,BENGALURU RURAL
7093558,0.9950796097301933,RAICHUR
7101048,0.9954261017102228,CHITRADURGA
7129702,0.9955831206867187,BENGALURU U SOUTH
7156954,0.9951837347255742,HASSAN
7164134,0.9952453661410297,KOLAR
7183426,0.9955416040670094,TUMAKURU MADHUGIRI
7346204,0.995583026489532,BENGALURU U NORTH
7419909,0.9960670360050188,BENGALURU U SOUTH
7426735,0.9951196741284788,KALBURGI
7456604,0.9959244205908698,BIDAR
7547628,0.9950796097301933,BENGALURU RURAL
7547643,0.9953485172953519,BENGALURU U SOUTH
7577785,0.9961915404197194,DHARWAD
7623967,0.9961528473241054,TUMAKURU
7694459,0.9950257291845389,BENGALURU U SOUTH
7869870,0.9951044350415471,DAVANAGERE
7882344,0.9958465121229575,UTTARA KANNADA SIRSI
7889997,0.9951377209406576,HASSAN
7901909,0.995983562356127,BENGALURU U NORTH
7911862,0.9954944065452567,BENGALURU RURAL
7938781,0.9952828035117901,UTTARA KANNADA SIRSI
8036212,0.9950900709200899,DAKSHINA KANNADA
8119614,0.9951945022765337,UTTARA KANNADA
8187217,0.995890438660151,CHIKKABALLAPURA
8226544,0.9953150050507367,BALLARI
8256283,0.9950483728035872,SHIVAMOGGA
8279504,0.9950257291845389,KALBURGI
8341934,0.9963354816750156,BALLARI
8398319,0.9952142682201677,UTTARA KANNADA SIRSI
8415164,0.9956409319244716,RAICHUR
8416404,0.995943389771256,KOLAR
8438311,0.9952389669040392,BELAGAVI
8463601,0.995199796563977,UTTARA KANNADA
8464694,0.9951058208979654,TUMAKURU MADHUGIRI
8536824,0.9959182939632084,CHAMARAJANAGARA
8580491,0.9954919594490304,KOLAR
8753676,0.9955470089197774,DAVANAGERE
8819648,0.9953343662237769,BALLARI
8838000,0.9953943285694538,KOLAR
8843026,0.9957097591685798,KOLAR
9009332,0.9964834006090186,HASSAN
9039900,0.9957593854048953,MANDYA
9121601,0.995015327145488,VIJAYAPURA
9137652,0.9959298533366565,CHAMARAJANAGARA
9165468,0.9950900709200899,KOLAR
9168308,0.9960162770179386,BENGALURU U NORTH
9182453,0.9956961758200077,RAMANAGARA
9201698,0.9952453661410297,CHIKKABALLAPURA
9205974,0.9951441356297741,KALBURGI
9214843,0.9963180304526971,BENGALURU U SOUTH
9244356,0.9951372914641441,UTTARA KANNADA SIRSI
9246643,0.9962902625107511,TUMAKURU
9341648,0.9952183613067496,CHAMARAJANAGARA
9362541,0.9965109410910172,MANDYA
9446956,0.9950970202981908,YADAGIRI
9452556,0.995943389771256,BELAGAVI CHIKKODI
9553108,0.9961556119137163,KOLAR
9588952,0.9956054491193921,BENGALURU U SOUTH
9592111,0.9951983831837165,MYSURU
9709226,0.9951818049581674,UTTARA KANNADA SIRSI
9728814,0.9963889960974117,MANDYA
9806123,0.9954944065452567,BELAGAVI
9811064,0.996065812803913,KODAGU
9854020,0.9956160284007508,BENGALURU U SOUTH
9884775,0.9951058208979654,KALBURGI
9907420,0.995890438660151,RAMANAGARA
9917647,0.9950257291845389,KOLAR
9937930,0.9960274517264013,CHIKKABALLAPURA
9980280,0.9952849850456624,UTTARA KANNADA SIRSI
9985815,0.9957019733855383,CHIKKABALLAPURA
9987021,0.9962902625107511,BENGALURU RURAL
9997089,0.9954892630900887,KOPPAL
9997866,0.9950064359622394,MYSURU
